"filename", "language", "Markdown", "JavaScript", "TypeScript JSX", "HTML", "PowerShell", "JSON", "TypeScript", "CSS", "Ignore", "SQL", "YAML", "comment", "blank", "total"
"h:\inde\JakSurveillance\frontend\src\components\profiles\ProfileInfo.tsx", "TypeScript JSX", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 167
"h:\inde\JakSurveillance\frontend\src\contexts\UserContext.tsx", "TypeScript JSX", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 25, 3, 69
"h:\inde\JakSurveillance\frontend\src\css\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"h:\inde\JakSurveillance\frontend\src\css\logo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 11, 78
"h:\inde\JakSurveillance\frontend\src\hooks\ApiHooks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1006, 0, 0, 0, 0, 13, 51, 1070
"h:\inde\JakSurveillance\frontend\src\hooks\courseHooks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 15, 3, 54
"h:\inde\JakSurveillance\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 18
"h:\inde\JakSurveillance\frontend\src\routes\AdminRoutes.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 41
"h:\inde\JakSurveillance\frontend\src\routes\AllRoutes.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"h:\inde\JakSurveillance\frontend\src\routes\CounselorRoutes.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 38
"h:\inde\JakSurveillance\frontend\src\routes\StudentRoutes.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 44
"h:\inde\JakSurveillance\frontend\src\routes\TeacherRoutes.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 44
"h:\inde\JakSurveillance\frontend\src\routes\admin\AdminCourseRoutes.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 28
"h:\inde\JakSurveillance\frontend\src\routes\admin\AdminLectureRoutes.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"h:\inde\JakSurveillance\frontend\src\routes\admin\AdminSettingsRoutes.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 24
"h:\inde\JakSurveillance\frontend\src\routes\admin\AdminUserRoutes.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 26
"h:\inde\JakSurveillance\frontend\src\routes\counselor\CounselorStudentRoutes.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 33
"h:\inde\JakSurveillance\frontend\src\routes\teacher\TeacherAttendanceRoutes.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 28
"h:\inde\JakSurveillance\frontend\src\routes\teacher\TeacherCoursesRoutes.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 34
"h:\inde\JakSurveillance\frontend\src\routes\teacher\TeacherStudentsRoutes.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 34
"h:\inde\JakSurveillance\frontend\src\routes\teacher\create\TeacherCreateCourseRoutes.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 28
"h:\inde\JakSurveillance\frontend\src\utils\exportData.tsx", "TypeScript JSX", 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 57, 21, 310
"h:\inde\JakSurveillance\frontend\src\views\Footer.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 61
